"","r","obs","mmean","lo","hi"
"1",0,0,0,0,0
"2",16.1670734911581,136.188404537704,-10.3202639720319,-16.1670734911581,44.3728546364438
"3",32.3341469823163,222.125668822227,-6.04949212564919,-32.3341469823163,45.8225641572825
"4",48.5012204734744,309.657824392535,-7.22694983661192,-48.5012204734744,50.3600681781201
"5",64.6682939646325,381.57846599534,-6.28044851593346,-64.6682939646325,61.3556160287198
"6",80.8353674557907,478.408533363275,-3.97068803224528,-80.8353674557907,71.5201105730712
"7",97.0024409469488,548.64922405319,-4.27728110267022,-62.0496971457572,63.1711532684101
"8",113.169514438107,606.976654155075,-5.01489891335554,-78.2167706369154,102.293668892146
"9",129.336587929265,706.246780817687,-3.77673394681262,-94.3838441280735,99.8638808027266
"10",145.503661420423,764.276071177016,-4.26943134155392,-110.550917619232,103.730592359371
"11",161.670734911581,860.062622089689,-4.92286764700327,-101.130806783979,104.689641033136
"12",177.837808402739,942.015071343946,-5.43778343638279,-99.6810972631407,112.65571504479
"13",194.004881893898,1018.55866829263,-4.55505859656441,-108.388494470751,118.765200525296
"14",210.171955385056,1125.94340183818,-3.97154380545814,-113.255408998671,137.732221281325
"15",226.339028876214,1219.06641269922,-5.39563821089006,-123.368488620278,145.334263587956
"16",242.506102367372,1275.05555831764,-5.81554647646249,-139.535562111436,159.181871085356
"17",258.67317585853,1375.05688597092,-6.64392656727566,-136.183384541602,166.960071150519
"18",274.840249349688,1465.50350746776,-7.54253459101678,-147.461117322122,163.519089153043
"19",291.007322840846,1524.28117993274,-8.54583422683015,-154.373389008289,175.706083554488
"20",307.174396332005,1587.47260227065,-9.21138799379537,-166.140619619504,174.98920173396
"21",323.341469823163,1656.20271293901,-9.04609230308292,-173.896112677968,190.662764841598
"22",339.508543314321,1710.8520898347,-9.25360979428338,-178.266496471848,198.105060820381
"23",355.675616805479,1758.52951513442,-10.5167305861914,-190.688671960798,195.755521311541
"24",371.842690296637,1813.86475291812,-10.8437559763431,-196.099198619485,187.680155301705
"25",388.009763787795,1872.19336028468,-10.5970504952419,-192.083183149052,187.845853513849
"26",404.176837278953,1937.63816420693,-10.5254151304935,-182.573635410891,192.22611757374
"27",420.343910770112,1981.78032956931,-10.7481053911698,-185.901693414,189.972637922231
"28",436.51098426127,2053.0471339791,-11.0877094390391,-191.868529900263,189.955438402759
"29",452.678057752428,2101.3835626688,-11.5554846615759,-198.243964768205,189.2710691046
"30",468.845131243586,2140.9626700219,-11.9672047561922,-204.2952136863,185.803943032753
"31",485.012204734744,2195.25008873056,-12.1900119686103,-208.962844117905,188.234938112506
"32",501.179278225902,2247.28007255029,-11.812972974894,-208.285311651592,189.537969463034
"33",517.34635171706,2312.9662711809,-12.6946009594293,-206.420843760869,190.413544638095
"34",533.513425208218,2365.58256396841,-13.0894380851924,-209.343952438038,198.85053277218
"35",549.680498699377,2411.68254789182,-13.7590932445076,-210.440869876194,205.164241048393
"36",565.847572190535,2475.69450870975,-14.6432296244005,-219.480277312658,209.159611093138
"37",582.014645681693,2518.0094934628,-15.1290215030525,-218.998914582751,208.00363009788
"38",598.181719172851,2573.83376730918,-14.7992599249617,-229.357962419724,207.089443949858
"39",614.348792664009,2612.88255219864,-14.5977625259463,-227.54061523827,213.560166728569
"40",630.515866155167,2667.10292551528,-14.9040512120032,-228.784191293537,210.058161543438
"41",646.682939646325,2731.28421905441,-14.8273273113906,-232.965774204783,212.568059148092
"42",662.850013137484,2779.45529106097,-15.0594174838746,-230.875593079043,220.440646655518
"43",679.017086628642,2811.86618644234,-15.4011834428578,-236.963482362664,219.680356402659
"44",695.1841601198,2849.66876485209,-15.6883005363194,-248.506453077815,223.992992899576
"45",711.351233610958,2904.84070618057,-16.3641904465318,-248.235631187101,237.049118008454
"46",727.518307102116,2937.68957218,-16.7210908274445,-254.619252087927,242.772649049034
"47",743.685380593274,2966.2383945291,-17.6891712375405,-258.019115103569,240.218405358302
"48",759.852454084432,2994.83356549895,-17.4495586689349,-252.051096444569,238.712982297247
"49",776.01952757559,3034.84723347221,-16.9509450610865,-253.75539016979,244.140514551486
"50",792.186601066749,3081.48538307447,-17.6178277366734,-252.470716351572,242.186196242581
"51",808.353674557907,3120.27845509346,-18.3071773802675,-258.398109238495,241.907226644322
"52",824.520748049065,3157.42569252652,-18.1020465740376,-258.060774755002,243.752710596739
"53",840.687821540223,3186.85638937127,-17.2574573185841,-262.399717892536,248.316859171931
"54",856.854895031381,3219.39469214129,-16.7728060554895,-261.825408971606,251.171523989194
"55",873.021968522539,3255.84768942523,-16.0120662280213,-260.413950272461,253.371651958451
