"","r","obs","mmean","lo","hi"
"1",0,0,0,0,0
"2",16.1670734911581,59.9244037596577,-4.21049842600968,-16.1670734911581,18.4438065309652
"3",32.3341469823163,95.6169291524553,-2.4766811457697,-32.3341469823163,16.6130289506385
"4",48.5012204734744,130.228595424214,-2.68557486969358,-34.3713878729927,30.1703579322415
"5",64.6682939646325,162.729841149241,-2.72922604716358,-33.0730277592628,27.9872146717045
"6",80.8353674557907,204.22328074187,-2.5859120063014,-40.8701656604652,30.423045698871
"7",97.0024409469488,239.45376720368,-3.76766366917529,-48.055265013994,33.2681788872986
"8",113.169514438107,266.499902617485,-3.5661414252389,-46.505562973128,31.7773353168926
"9",129.336587929265,318.911578588205,-3.66600551225432,-47.067188787841,40.7571807855218
"10",145.503661420423,359.853792595246,-4.24536051890908,-49.273144869011,45.5949324772546
"11",161.670734911581,397.382370459758,-4.16819027302295,-55.5725067975927,52.5775439809727
"12",177.837808402739,432.304812480051,-4.47437178484333,-56.6948091428462,62.747841974584
"13",194.004881893898,473.496114398769,-4.76952883923233,-52.4885375477006,67.6264154630485
"14",210.171955385056,509.607517309441,-4.6224879470711,-54.7218062765901,71.882336912013
"15",226.339028876214,544.148875468394,-4.39174326109936,-57.738657548236,79.0080619428448
"16",242.506102367372,584.456501864163,-4.49720409683662,-59.1565956481268,84.8971553250535
"17",258.67317585853,621.130611469795,-4.97126031633339,-56.5342951084502,87.8057806761665
"18",274.840249349688,662.233322625971,-5.38816609885801,-60.518074222822,91.1238894137438
"19",291.007322840846,701.696814755614,-5.8973498364077,-62.9226286159787,91.7470362383882
"20",307.174396332005,738.92954972062,-6.03752203414868,-65.489689613705,95.0565275844616
"21",323.341469823163,771.526833068344,-6.92937921139334,-71.1749145342528,99.0910379071833
"22",339.508543314321,798.145374455383,-6.90904748187655,-77.0269673313309,99.3154592899575
"23",355.675616805479,827.963148839742,-7.52285944364738,-76.4111705228766,103.747160049373
"24",371.842690296637,858.122318782193,-8.0752194910947,-74.6766802540699,105.110271067608
"25",388.009763787795,889.671199738671,-8.28174159181725,-74.5788457702694,110.568693691256
"26",404.176837278953,926.687829980819,-8.63361418232785,-79.9736846725572,114.889702113729
"27",420.343910770112,953.814619806633,-9.27610582636493,-76.5092148159056,114.357800061018
"28",436.51098426127,988.485057520188,-9.64471973359885,-73.8109064342864,116.017292195285
"29",452.678057752428,1020.49083562816,-9.76510087941772,-73.989999869213,115.562854203941
"30",468.845131243586,1047.10756602845,-9.74297958543465,-74.9135439561144,115.220656817533
"31",485.012204734744,1078.96892140343,-9.70717564745089,-74.5662048626351,118.475556008559
"32",501.179278225902,1111.03209247124,-9.9338827845038,-77.0987716170198,117.035330189669
"33",517.34635171706,1145.7780765569,-10.1154004399297,-78.1726028377978,117.990789548652
"34",533.513425208218,1178.71394137134,-10.4223443158969,-78.9681769484375,117.638141807094
"35",549.680498699377,1207.82430818207,-10.6213155410709,-77.6825462029159,116.319131500517
"36",565.847572190535,1241.58461725849,-10.6856093194822,-81.0460643554597,120.117651268719
"37",582.014645681693,1268.24538489188,-10.6319281752329,-82.9289338850797,121.852155461873
"38",598.181719172851,1293.82384125556,-10.7358335247308,-85.1413368374111,124.160129098065
"39",614.348792664009,1324.91500801175,-10.8179606409509,-86.8003545553169,131.962798158449
"40",630.515866155167,1350.20599804944,-10.9131688417189,-91.6873458176758,132.823771675225
"41",646.682939646325,1379.33768904243,-11.0972790628253,-89.0235280045628,134.277341305987
"42",662.850013137484,1404.64722103275,-11.1719842253935,-91.5589303641901,139.173775961648
"43",679.017086628642,1433.51506435601,-11.175737823271,-92.9357203038401,139.455673024214
