"","r","obs","mmean","lo","hi"
"1",0,0,0,0,0
"2",16.1670734911581,114.917063565527,-10.1169800414033,-16.1670734911581,37.3478013691642
"3",32.3341469823163,209.964754257407,-9.9892932658645,-32.3341469823163,33.2079215460261
"4",48.5012204734744,308.487520936615,-8.09409668258983,-48.5012204734744,58.5285292471702
"5",64.6682939646325,368.438667363854,-8.57439949930829,-64.6682939646325,71.7684016254971
"6",80.8353674557907,459.638375471863,-8.67193996071677,-80.8353674557907,75.185963028812
"7",97.0024409469488,533.04246337252,-7.80425126064975,-97.0024409469488,80.4863196675631
"8",113.169514438107,593.248161211031,-6.81631126232328,-113.169514438107,107.477967152713
"9",129.336587929265,699.281280826126,-6.31156459518053,-91.4958570211817,132.831686184105
"10",145.503661420423,757.535902956434,-4.07375561102391,-79.9615928920808,137.670439225887
"11",161.670734911581,859.679293442833,-4.4337082319016,-96.128666383239,138.680755323531
"12",177.837808402739,951.377436250004,-4.52769104476576,-112.295739874397,145.913405418757
"13",194.004881893898,1034.21748315585,-6.27950047758993,-128.462813365555,140.620958454964
"14",210.171955385056,1137.43249271283,-8.17285673194799,-134.490493568889,159.039513282113
"15",226.339028876214,1225.52335177298,-8.2810101473066,-141.724582247462,163.279198343031
"16",242.506102367372,1268.32106356526,-8.28335013686234,-142.388938955668,175.480856319134
"17",258.67317585853,1368.32286797894,-7.57424082951165,-145.15098313428,185.875845378187
"18",274.840249349688,1464.50676881961,-6.3983169473008,-150.683805291208,199.512978739305
"19",291.007322840846,1514.9258025588,-7.47751971395155,-160.073073776375,198.484368354922
"20",307.174396332005,1577.46322168347,-6.8173096166752,-170.881702126721,209.974282007564
"21",323.341469823163,1642.68027533426,-7.11277369316998,-181.893177470823,213.032587191799
"22",339.508543314321,1697.55209247689,-7.81612394088156,-177.651917711793,209.623295972934
"23",355.675616805479,1745.46403732912,-9.60920409067256,-176.999230805346,211.464104436423
"24",371.842690296637,1801.43530371483,-9.90727751352174,-180.052851724064,210.949896403914
"25",388.009763787795,1855.66735242209,-11.3104668396832,-185.329954910178,211.939957283497
"26",404.176837278953,1929.75593949595,-11.2599036593068,-201.497028401336,225.728504108951
"27",420.343910770112,1974.80459889442,-12.3316691293618,-207.330137333647,231.865719269413
"28",436.51098426127,2056.22901236411,-12.8718668306011,-203.337755560191,239.480823485397
"29",452.678057752428,2110.33702254659,-13.1837425717428,-201.757193580408,247.87327652704
"30",468.845131243586,2147.3950528674,-13.0376987829646,-201.351569506521,259.300687147984
"31",485.012204734744,2200.30536556122,-13.4605566871974,-201.182555643375,275.770726636779
"32",501.179278225902,2261.96812293912,-14.651462108419,-207.20286788479,286.870120965055
"33",517.34635171706,2335.40752397071,-14.5314669909255,-206.789468005043,291.820371786699
"34",533.513425208218,2389.34540725642,-14.2812704015209,-198.493532934142,310.364002103567
"35",549.680498699377,2440.39359140795,-15.4482821435555,-209.34769668601,308.75522117227
"36",565.847572190535,2513.0310662388,-16.1606781816471,-214.474914940052,311.621637376231
"37",582.014645681693,2555.48961254545,-16.9104332696512,-215.246889290631,317.006487936662
"38",598.181719172851,2610.90510811891,-16.8928206963922,-219.882746636471,318.918375888927
"39",614.348792664009,2652.24390509382,-17.7760564220499,-217.538404154219,321.011541994561
"40",630.515866155167,2708.24079496997,-17.9144424545573,-217.97763254147,320.085624722906
"41",646.682939646325,2780.32708010792,-18.715324478786,-219.900639992385,318.424729372739
"42",662.850013137484,2834.38363643763,-18.8928005513335,-231.064309292533,322.809187422224
"43",679.017086628642,2872.03015918022,-18.9632878976794,-235.054309020209,321.154171400901
"44",695.1841601198,2911.75153770327,-19.306901558872,-236.923139329437,316.727171602996
"45",711.351233610958,2974.29660893033,-19.9433166770771,-234.036896357189,312.633280271219
"46",727.518307102116,3006.57141642092,-20.9141303874646,-240.276386704598,307.250618463668
