"","r","obs","mmean","lo","hi"
"1",0,0,0,0,0
"2",16.1670734911581,-16.1670734911581,-14.4350489131924,-16.1670734911581,155.30335972745
"3",32.3341469823163,52.0069081510563,-25.4060486704533,-32.3341469823163,139.136286236292
"4",48.5012204734744,140.091112098804,-37.391644935123,-48.5012204734744,193.994591730271
"5",64.6682939646325,123.924038607646,-51.2761919278434,-64.6682939646325,232.327208365843
"6",80.8353674557907,185.874467027503,-62.0802655350194,-80.8353674557907,262.105498981425
"7",97.0024409469488,182.725193353126,-74.0658617996891,-97.0024409469488,245.938425490267
"8",113.169514438107,213.481987495007,-79.1921234681352,-113.169514438107,270.250030370039
"9",129.336587929265,292.368687737598,-81.841568082118,-129.336587929265,412.900532417333
"10",145.503661420423,344.061934759862,-91.1023985100089,-145.503661420423,448.487343240527
"11",161.670734911581,349.225256173091,-97.3994734325818,-161.670734911581,456.574704284134
"12",177.837808402739,373.247661549475,-107.474625038705,-177.837808402739,463.745804662993
"13",194.004881893898,400.544603228685,-111.523140250948,-194.004881893898,491.876850980535
"14",210.171955385056,430.449929120627,-123.058385300414,-210.171955385056,537.250334819997
"15",226.339028876214,449.949234702703,-131.125531344965,-226.339028876214,559.437210794928
"16",242.506102367372,520.106631401336,-133.936740580304,-242.506102367372,614.846063725668
"17",258.67317585853,579.118390026236,-136.666272461892,-258.67317585853,680.509066331618
"18",274.840249349688,593.654180010826,-143.025384585563,-274.840249349688,679.866718003903
"19",291.007322840846,641.081008103037,-137.447714134059,-291.007322840846,737.815276470802
"20",307.174396332005,678.369794843903,-140.320269706241,-307.174396332005,790.772090613175
"21",323.341469823163,711.541414257221,-143.23022062916,-323.341469823163,787.913945310298
"22",339.508543314321,751.357631449465,-143.063392839962,-339.508543314321,821.856438735949
"23",355.675616805479,786.831166116681,-139.198000670612,-355.675616805479,845.643691575177
"24",371.842690296637,852.159396079638,-146.754085263353,-371.842690296637,865.255176197422
"25",388.009763787795,919.569993433519,-149.401366647742,-388.009763787795,929.649485624355
"26",404.176837278953,949.260294520119,-154.279284945018,-404.176837278953,989.394353524958
"27",420.343910770112,994.059255131601,-151.572213408702,-420.343910770112,983.736846631972
"28",436.51098426127,1025.79630340413,-151.509716081638,-436.51098426127,1009.87808551066
"29",452.678057752428,1073.93100924963,-154.617915798981,-452.678057752428,1045.21166828964
"30",468.845131243586,1113.82536215422,-153.274597429353,-468.845131243586,1096.23901910093
"31",485.012204734744,1182.95306131473,-156.332400810163,-485.012204734744,1110.46201207192
"32",501.179278225902,1235.06778002988,-157.365293567547,-501.179278225902,1133.4919443304
"33",517.34635171706,1294.29648575582,-160.837903050557,-517.34635171706,1134.05970587024
"34",533.513425208218,1342.63150587375,-160.484921925286,-533.513425208218,1160.54310702318
"35",549.680498699377,1400.62320705387,-167.213527836175,-549.680498699377,1188.46882219276
"36",565.847572190535,1457.83246868735,-173.246290216784,-565.847572190535,1214.08883371241
"37",582.014645681693,1528.56443266754,-177.904302553282,-582.014645681693,1246.80635864535
"38",598.181719172851,1570.80566854928,-179.667506336145,-598.181719172851,1294.97135059174
"39",614.348792664009,1620.2742029334,-183.484603880064,-614.348792664009,1309.61508003002
"40",630.515866155167,1663.69963485818,-190.185801429157,-630.515866155167,1323.96157115293
"41",646.682939646325,1686.6547100178,-189.836500526477,-646.682939646325,1348.66128271214
"42",662.850013137484,1747.43676539608,-193.807923885815,-662.850013137484,1376.2211534745
"43",679.017086628642,1776.84107022972,-198.699243534057,-679.017086628642,1374.42281788396
"44",695.1841601198,1831.27390393329,-200.552767572925,-695.1841601198,1365.40254053438
"45",711.351233610958,1868.06609672487,-204.806018853944,-711.351233610958,1387.18643234637
"46",727.518307102116,1921.96787829502,-207.956699907698,-727.518307102116,1405.86982194885
"47",743.685380593274,1960.47669236356,-210.437619891991,-743.685380593274,1422.22911891743
"48",759.852454084432,1991.40887909675,-215.217015893087,-759.852454084432,1419.59468639112
"49",776.01952757559,2053.08465536438,-213.353926887563,-776.01952757559,1410.16252056112
"50",792.186601066749,2082.43073785047,-216.814574077079,-792.186601066749,1420.73011346815
"51",808.353674557907,2118.93432571443,-222.276623557498,-808.353674557907,1411.19639131943
"52",824.520748049065,2146.11326439869,-226.772446025034,-824.520748049065,1408.89281718315
"53",840.687821540223,2174.08205295246,-232.995822852417,-840.687821540223,1414.17836359116
"54",856.854895031381,2202.63353943963,-234.460946630308,-856.854895031381,1425.6658443166
"55",873.021968522539,2278.54856636483,-238.418370602797,-873.021968522539,1416.48956814094
"56",889.189042013697,2316.40867169462,-242.663947580823,-889.189042013697,1413.12876738003
"57",905.356115504856,2338.64715037849,-246.057892133846,-905.356115504856,1416.0386454869
"58",921.523188996014,2374.7021496542,-245.004286705727,-921.523188996014,1425.06626933368
"59",937.690262487172,2437.63698189919,-247.391252516074,-937.690262487172,1408.89919584253
"60",953.85733597833,2451.35611127306,-247.815745920472,-953.85733597833,1411.45203371279
"61",970.024409469488,2480.22658139587,-250.429542743874,-970.024409469488,1408.41887340704
"62",986.191482960646,2512.05419177166,-250.508763303081,-986.191482960646,1412.90598145423
"63",1002.3585564518,2544.66854277616,-250.640989131766,-1002.3585564518,1425.36771055862
"64",1018.52562994296,2555.88603953536,-253.633274415931,-1018.52562994296,1418.22563797794
"65",1034.69270343412,2615.24954390309,-254.203138238315,-1034.69270343412,1438.33851981005
"66",1050.85977692528,2682.78428972499,-255.104073812253,-1050.85977692528,1434.34708406508
"67",1067.02685041644,2714.88964754717,-258.210725936057,-1067.02685041644,1443.94485293003
"68",1083.1939239076,2777.35258179634,-259.979267106052,-1083.1939239076,1434.60349128209
"69",1099.36099739875,2824.58465439043,-263.468786761619,-1099.36099739875,1424.26851847794
"70",1115.52807088991,2871.57929713406,-263.553225807621,-1115.52807088991,1422.14513281054
"71",1131.69514438107,2911.2751888945,-266.810913069891,-1131.69514438107,1439.57175392161
"72",1147.86221787223,2974.28189469383,-271.5629025343,-1147.86221787223,1437.53649162434
"73",1164.02929136339,3006.47258018107,-273.215601596791,-1164.02929136339,1440.57838583729
"74",1180.19636485454,3066.47430112632,-274.757999006196,-1180.19636485454,1435.67545369258
"75",1196.3634383457,3155.63999890852,-277.526811370162,-1196.3634383457,1431.40943659958
