"","r","obs","mmean","lo","hi"
"1",0,0,0,0,0
"2",16.1670734911581,155.744725794048,-9.98732143081278,-16.1670734911581,42.2284611775761
"3",32.3341469823163,230.985903288635,-8.57140153512849,-32.3341469823163,35.0952083386154
"4",48.5012204734744,316.178776648175,-6.70875727718239,-48.5012204734744,52.6428125079232
"5",64.6682939646325,391.415411756245,-7.02963291414782,-64.6682939646325,52.122775372836
"6",80.8353674557907,496.266954924297,-7.67364285604848,-80.8353674557907,73.6646949543308
"7",97.0024409469488,566.431510177614,-8.60351545907519,-97.0024409469488,68.1650732741558
"8",113.169514438107,628.170973291103,-8.98993202621729,-113.169514438107,70.4423527119895
"9",129.336587929265,724.584414346088,-9.88523594531769,-129.336587929265,83.6032114884843
"10",145.503661420423,783.028825048192,-10.6128975859999,-97.8239070219552,91.4404591362657
"11",161.670734911581,873.375932896894,-11.4162780085693,-94.2413795906496,102.165733343599
"12",177.837808402739,955.748248592609,-12.4342515953866,-102.449497314444,98.62151757463
"13",194.004881893898,1029.75016434589,-12.6457328641903,-104.8042292716,104.211873683487
"14",210.171955385056,1144.40845163882,-13.2643507714373,-98.3530196575133,106.529841585838
"15",226.339028876214,1233.21982123451,-12.5999710833517,-100.190256165229,110.365761013094
"16",242.506102367372,1301.078972925,-13.2189836625245,-116.357329656388,123.891411410119
"17",258.67317585853,1397.55598034593,-12.8464039923958,-128.096790756795,135.301133011099
"18",274.840249349688,1483.7279449421,-14.0061954968201,-139.981538707825,136.002746450358
"19",291.007322840846,1541.97335674981,-14.2050359670678,-151.998145713094,157.921687694484
"20",307.174396332005,1605.78629222281,-14.6823830293599,-168.165219204252,160.683556198213
"21",323.341469823163,1673.69938742636,-15.1975533278987,-172.564847646572,160.350093501997
"22",339.508543314321,1727.06997381433,-15.4057599931442,-181.372687878305,158.35279419308
"23",355.675616805479,1772.05146566831,-15.6825867081408,-190.797380074503,165.887664658239
"24",371.842690296637,1823.63022658067,-16.184257306285,-200.208801081791,176.553006891139
"25",388.009763787795,1879.76201366112,-16.1234481188923,-216.375874572949,193.04285109326
"26",404.176837278953,1942.76713540285,-16.4607636209636,-222.529720899941,208.727916226158
"27",420.343910770112,1989.49213252345,-17.2958463474632,-232.100246506865,215.206755463376
"28",436.51098426127,2056.19688000664,-18.3022162923903,-217.454443303689,221.418220744142
"29",452.678057752428,2105.13902703931,-19.4866251784033,-228.492582942398,227.150121430841
"30",468.845131243586,2144.58727160312,-20.5517500359969,-237.212413545465,233.861110149116
"31",485.012204734744,2197.73972042455,-21.1033223227999,-246.131995471891,231.456988409698
"32",501.179278225902,2245.78106442818,-21.7726424702295,-239.059514635784,234.874412327638
"33",517.34635171706,2313.32669313344,-23.2335781420594,-244.199280821533,240.477102451147
"34",533.513425208218,2365.13411184333,-23.9007186887106,-260.366354312691,245.706539555566
"35",549.680498699377,2408.17440787785,-24.099078296548,-261.943978922834,245.690691652481
"36",565.847572190535,2470.5305251789,-24.2027069052301,-270.79942751238,245.284335335469
"37",582.014645681693,2510.45075336679,-24.0102192968915,-270.911524072515,254.650044164669
"38",598.181719172851,2562.66098006235,-23.4261416966443,-263.86164578552,256.978137236159
"39",614.348792664009,2595.52801849154,-22.7859766294615,-270.73279301984,263.969492872382
"40",630.515866155167,2640.10963097523,-22.7458939341891,-270.737558652353,268.486008692987
"41",646.682939646325,2702.52293453068,-22.8142476423649,-263.033972812179,283.630131028894
"42",662.850013137484,2747.88055878261,-22.2665948537598,-271.864172982558,288.168197519647
"43",679.017086628642,2776.22362079683,-21.9255149698584,-271.656690317979,288.642989863249
"44",695.1841601198,2813.30328139041,-21.9061310080329,-271.463767091223,298.022282996103
"45",711.351233610958,2863.05309979925,-21.7756979616886,-273.820551866979,300.94547768751
"46",727.518307102116,2893.30720683153,-22.0256838947912,-280.956399795604,304.02167600222
"47",743.685380593274,2920.00077389266,-22.089059886321,-280.641080992079,309.444203576158
"48",759.852454084432,2944.04661232207,-22.5101930113343,-286.252369571682,313.618126371885
"49",776.01952757559,2981.55138566504,-22.2300606103795,-281.15093011576,316.693718711777
"50",792.186601066749,3029.13468666713,-21.2798754960058,-281.69064049229,315.997212852747
"51",808.353674557907,3068.99823364057,-21.1325657559386,-275.897322536145,317.230855556132
"52",824.520748049065,3102.39175669177,-19.8764760051155,-274.16315715273,320.027487579187
"53",840.687821540223,3133.14167091292,-18.4661632344024,-279.017455791209,333.86076722748
"54",856.854895031381,3161.97489132294,-17.7369374112935,-279.457248099075,338.343479092001
"55",873.021968522539,3197.993875708,-17.6511076654396,-283.761354901242,339.336341541463
"56",889.189042013697,3230.7292613609,-17.6248618122286,-288.064309527306,336.782943386741
"57",905.356115504856,3263.1115455459,-17.8863511194685,-291.988247726558,331.486788488081
"58",921.523188996014,3290.81722369466,-16.866996242829,-294.637454400718,329.795792452517
"59",937.690262487172,3335.06998484396,-16.4433538442074,-293.678667764586,330.381260819772
"60",953.85733597833,3358.30494040236,-15.7960143436054,-296.588094981876,328.352179693091
"61",970.024409469488,3400.17072634088,-15.3514684338425,-303.058642376693,330.337167747189
"62",986.191482960646,3425.73304149861,-15.4313208342761,-310.351098262442,329.197663459307
"63",1002.3585564518,3446.47041064361,-15.5993486462795,-318.056688262577,330.924548712083
"64",1018.52562994296,3463.46693862781,-15.1262933894417,-329.269455731188,336.278201961916
"65",1034.69270343412,3502.71818476238,-15.4499920485901,-336.956766034817,341.287573454223
"66",1050.85977692528,3531.04454056821,-16.1391794663872,-338.087478618574,336.201126253779
"67",1067.02685041644,3565.64933861876,-16.6493703307088,-338.91332505778,338.852414269319
"68",1083.1939239076,3604.01880279661,-16.5512923932565,-337.963123359907,342.76226729701
"69",1099.36099739875,3639.13031575089,-16.2019550186449,-343.770462185481,340.62215196336
