"","r","obs","mmean","lo","hi"
"1",0,0,0,0,0
"2",16.1670734911581,63.4933245866115,-14.9812373267766,-16.1670734911581,101.23070678261
"3",32.3341469823163,93.6200016384093,-29.471285231514,-32.3341469823163,133.691386073344
"4",48.5012204734744,138.318972815415,-35.6013209284419,-48.5012204734744,154.8376996565
"5",64.6682939646325,138.426668164926,-45.34802334974,-64.6682939646325,170.127266582904
"6",80.8353674557907,222.502391185755,-48.4708990327017,-80.8353674557907,153.960193091746
"7",97.0024409469488,216.620859908688,-51.5851110053222,-97.0024409469488,235.048625164371
"8",113.169514438107,285.132475950741,-55.8615236246489,-113.169514438107,218.881551673213
"9",129.336587929265,380.738837766051,-64.006677532267,-129.336587929265,222.856752892041
"10",145.503661420423,422.529477883313,-60.1379971070364,-145.503661420423,261.174178839526
"11",161.670734911581,449.122180854177,-63.674173974004,-161.670734911581,261.612981491146
"12",177.837808402739,463.366262140398,-69.9731726512165,-177.837808402739,291.753312692335
"13",194.004881893898,508.549395800845,-68.7520595716523,-194.004881893898,343.97933263044
"14",210.171955385056,581.842463752533,-67.0977945332999,-210.171955385056,411.038706765736
"15",226.339028876214,634.039389714297,-69.0633162342171,-226.339028876214,394.871633274578
"16",242.506102367372,722.080654341638,-69.8755928510962,-242.506102367372,424.687537883259
"17",258.67317585853,780.211158768846,-70.3580191356385,-258.67317585853,477.277247256604
"18",274.840249349688,824.957668386487,-67.6442170784756,-274.840249349688,515.191307502575
"19",291.007322840846,873.768921115123,-67.3540792687567,-291.007322840846,552.874771247154
"20",307.174396332005,904.239815464608,-64.2206358666252,-307.174396332005,572.139577882909
"21",323.341469823163,946.399423274559,-58.4615521503457,-323.341469823163,572.045124009129
"22",339.508543314321,992.605553044253,-60.4257140521067,-339.508543314321,603.416158883966
"23",355.675616805479,1034.2839836346,-61.6770679074428,-355.675616805479,602.751869675895
"24",371.842690296637,1073.08459466302,-59.8416853213942,-371.842690296637,607.245568123002
"25",388.009763787795,1126.32885029599,-64.0149769136496,-388.009763787795,617.013901975769
"26",404.176837278953,1153.78266796,-64.7038022544044,-404.176837278953,607.680270991795
"27",420.343910770112,1197.13207650067,-65.9452180726176,-420.343910770112,618.397521353818
"28",436.51098426127,1252.51262566138,-70.6212345258473,-436.51098426127,616.245989554813
"29",452.678057752428,1292.7376597941,-70.6633434653444,-452.678057752428,607.617767883974
"30",468.845131243586,1334.73313900659,-72.25642815169,-468.845131243586,599.075014213118
"31",485.012204734744,1383.22451750832,-71.5594523833533,-485.012204734744,609.94844420233
"32",501.179278225902,1424.23363602765,-74.1017837137091,-501.179278225902,617.344825736018
"33",517.34635171706,1485.62650589486,-76.3659946202827,-517.34635171706,626.233734234885
"34",533.513425208218,1526.67576563075,-80.1615075119763,-533.513425208218,630.888848427796
"35",549.680498699377,1590.16980052653,-79.4973649124676,-549.680498699377,668.477595982432
"36",565.847572190535,1640.72884407289,-84.9859691961265,-565.847572190535,674.107636698875
"37",582.014645681693,1683.43824107375,-82.014598093099,-464.616865407924,671.05217655055
"38",598.181719172851,1714.93800645227,-84.6396633408256,-480.783938899083,689.333740794687
"39",614.348792664009,1755.81406355099,-85.6615783829543,-496.951012390241,679.816026398379
"40",630.515866155167,1805.45876859456,-90.4563736992881,-513.118085881399,677.251112138166
"41",646.682939646325,1850.01472497732,-91.6966083150087,-480.657406590665,711.743333099481
"42",662.850013137484,1900.02133681632,-93.5672648194578,-496.824480081823,715.096872528857
"43",679.017086628642,1930.63659377812,-96.4290423005288,-512.991553572982,733.686917867761
"44",695.1841601198,1986.2447090494,-98.4387368288833,-529.15862706414,732.974936721943
"45",711.351233610958,2040.21570195512,-101.190081877668,-545.325700555298,762.525093520812
"46",727.518307102116,2079.38809075446,-101.847913664574,-561.492774046456,772.314618612501
"47",743.685380593274,2112.0130265906,-102.850393588565,-577.659847537614,778.348738411973
"48",759.852454084432,2141.96019994544,-107.143090080071,-593.826921028772,788.231687545774
"49",776.01952757559,2177.65699320341,-111.646973237564,-609.99399451993,781.367423928806
"50",792.186601066749,2203.14784766659,-114.457543810947,-626.161068011089,765.200350437648
"51",808.353674557907,2240.13195280088,-118.67090526517,-642.328141502247,764.142864495724
"52",824.520748049065,2266.83126564731,-120.366491502301,-658.495214993405,762.924948507
"53",840.687821540223,2292.40301624898,-121.460919017044,-674.662288484563,769.23387481293
"54",856.854895031381,2322.30179187186,-122.625591187899,-690.829361975721,763.717784150469
"55",873.021968522539,2366.97970399136,-125.789511624328,-706.996435466879,770.035344471958
"56",889.189042013697,2399.51819557677,-128.665108189243,-723.163508958037,792.722511055754
"57",905.356115504856,2415.69787781354,-131.313694738346,-739.330582449196,781.204321119758
"58",921.523188996014,2444.56864673864,-131.95277460928,-755.497655940354,765.0372476286
"59",937.690262487172,2485.53980540064,-133.500014990321,-771.664729431512,768.228255803379
"60",953.85733597833,2508.96334317717,-135.004446966027,-787.83180292267,804.660411163055
"61",970.024409469488,2533.9003207978,-137.189391934672,-803.998876413828,820.172741882309
"62",986.191482960646,2564.49057278316,-139.429324571234,-820.165949904986,833.713646816592
"63",1002.3585564518,2590.0776198381,-143.689522491442,-836.333023396144,849.814997321112
"64",1018.52562994296,2615.0102927499,-144.223701981292,-852.500096887302,883.486834840776
"65",1034.69270343412,2653.95697005813,-146.032674880612,-826.660091766832,909.030756244653
"66",1050.85977692528,2693.1765776442,-146.815894683308,-842.82716525799,914.774253265137
"67",1067.02685041644,2717.69698913285,-146.907807792553,-858.994238749148,922.934976073863
"68",1083.1939239076,2758.24528237291,-147.33145217337,-841.592317931574,931.544123492697
"69",1099.36099739875,2793.05817104277,-148.692671062994,-830.746822747823,922.765154444051
"70",1115.52807088991,2832.79637448669,-152.157278578281,-846.913896238981,915.020324301772
"71",1131.69514438107,2863.0702873051,-153.543475116277,-863.080969730139,928.723592902919
"72",1147.86221787223,2899.06634448563,-157.121895274832,-879.248043221297,932.210490116966
"73",1164.02929136339,2940.15966907427,-159.457053774783,-895.415116712456,919.882440826165
"74",1180.19636485454,2995.29251732923,-164.721791799968,-911.582190203614,952.940080247552
"75",1196.3634383457,3062.61334058894,-167.171008271601,-866.089395230736,964.607909616828
"76",1212.53051183686,3100.145641069,-170.219721310055,-862.012063864839,977.795335201667
"77",1228.69758532802,3144.38560131969,-171.614290346294,-859.041770843892,988.39853967914
"78",1244.86465881918,3193.29990648229,-174.79030356381,-839.636452979135,990.4594182218
"79",1261.03173231033,3214.66145476078,-176.884485735934,-839.140588030739,995.386829596611
"80",1277.19880580149,3274.45141805275,-178.556031129295,-855.307661521897,996.129032893256
"81",1293.36587929265,3297.91768786947,-179.398935550764,-846.305376035554,1017.01069714609
"82",1309.53295278381,3338.76182129068,-181.112415257224,-845.581800715036,1010.49337896226
"83",1325.70002627497,3366.394843389,-181.845466458695,-861.748874206194,1001.42451660615
"84",1341.86709976613,3414.67847578638,-183.60708807011,-826.838683470387,1002.93913264588
"85",1358.03417325728,3444.44719103874,-184.196049153255,-843.005756961545,1025.43335883605
"86",1374.20124674844,3481.7520106924,-186.641209338022,-859.172830452703,1030.1293653838
"87",1390.3683202396,3521.4001070604,-188.904313853299,-862.129256552234,1019.99942182787
"88",1406.53539373076,3540.21775835116,-188.481709256857,-863.128522639342,1047.96238946583
"89",1422.70246722192,3594.96217682129,-192.84818770308,-879.2955961305,1043.52686197964
"90",1438.86954071307,3633.02795739115,-194.562547805448,-895.462669621658,1037.60270286953
